Nombre,Descripcion,Vendedor,Imagenes
Remera Corazón Random,Remera color suela con el logo de la marca pintado en frente e intervenida con cloro diluido con agua creando efecto de salpicaduras y textura a toda la prenda,Julieta Quintero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_7142-Julieta-Quintero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_7137-Julieta-Quintero.jpg
Campera Homero,"Campera Verde Oversized Homero escondiendose en las plantas. Lo dibujé con tiza a mano alzada y luego apliqué base blanca, y al final color y texturas",Julieta Quintero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_7194-Julieta-Quintero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/motion_photo_8250266627460910061-Julieta-Quintero.jpg
Remera Oso Overside,"Remera de algodón ya coonfeccionada intervenida artisticamente a mano, primero se realiza un boceto en papel, luego a la prenda con tiza y por último base blanca y detalles finales en color.",Julieta Quintero,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20260707-WA0013-Julieta-Quintero.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/DSC7739-Julieta-Quintero-scaled.jpg
Alfajor Cuyano,"Alfajor gourmet relleno de mermelada de pomelo y cobertura de chocolate semiamargo y aceite de oliva virgen extra. Inredientes: Haina de trigo 0000 enriquecida, manteca, miel, azúcar, huevos, mermelada de pomelo orgánica, chocolate semiamargo, aceite de oliva virgen extra (marca AlmaOliva)",LOURDES CASTRO Chef,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/Alfajores-Cuyanos-LOURDES-CASTRO-Chef.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/Alfajores-cuyanos-2-LOURDES-CASTRO-Chef.jpg
Alfajores de Maicena,alfajores de maicena de distintos colores tamaños y formas rellenos de dulce de leche repostero,Claudia marcela Cabrillana,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.32.39-PM-Claudia-marcela-Cabrillana-1.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.32.39-PM-Claudia-marcela-Cabrillana.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.32.39-PM-1-Claudia-marcela-Cabrillana.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.32.40-PM-Claudia-marcela-Cabrillana.jpeg
Mini Pastafrolas,"De membrillo, batata o durazno Hago de diferentes medidas 15cm la mas chica, 25 cm la mediana y 32 cm la grande",Claudia marcela Cabrillana,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.25.30-PM-Claudia-marcela-Cabrillana.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.24.25-PM-Claudia-marcela-Cabrillana.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.24.25-PM-1-Claudia-marcela-Cabrillana.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.24.25-PM-2-Claudia-marcela-Cabrillana.jpeg
Donas Bañadas en Chocolate,"Las mini donas son hechas en maquina, primero realizo una masa a batidora (con harina 0000,manteca, azúcar, huevos, polvo de hornear y leche) luego la coloco en la maquina y se cocinan de ambos lados, las saco y las dejo enfriar. Después las baño en chocolate de distintos colores y les agrego decoraciones también hago donas grandes con un proceso de leudado en la masa y luego cocción al horno o fritas, también cubiertas de chocolate",Claudia marcela Cabrillana (1),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.14.23-PM-1-Claudia-marcela-Cabrillana-1.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.14.23-PM-Claudia-marcela-Cabrillana.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.14.23-PM-1-Claudia-marcela-Cabrillana.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.14.24-PM-Claudia-marcela-Cabrillana.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.28.32-PM-Claudia-marcela-Cabrillana.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/WhatsApp-Image-2026-07-12-at-10.28.32-PM-2-Claudia-marcela-Cabrillana.jpeg
Bandolera,Bandolera símil cuero combinadas con correa regulable Medidas aproximadas 20 x 15 cm forradas Cierre hojalillos y mosquetones metalicos,Carlos Ravalli,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_20250102_131355_289-Carlos-Ravalli-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_20240919_213837_878-Carlos-Ravalli-scaled.jpg
Billeteras,Billeteras en símil cuero combinadas forradas con compartimientos p billetes y tarjetas con broche en el frente,Carlos Ravalli,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_20240225_125859_582-Carlos-Ravalli-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_20220616_102911_995-Carlos-Ravalli-scaled.jpg
Fundas Materas,Juego de Funda matera p yerba y azúcar Medidas aproximadas 18 x 13 cm Material símil cuero combinadas forradas y cocidas!,Carlos Ravalli,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/1775080481440-Carlos-Ravalli.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/1775080680247-Carlos-Ravalli.jpg
Biblioteca Infantil,"Hecho en madera de álamo. Son 2 rectángulos colocados en forma perpendicular, donde en una de las bases va apoyado y clavado una madera en forma de lápiz.",Elena Jorge,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_20251120_110958630-Elena-Jorge-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_20251120_110614203-Elena-Jorge-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG_20251120_111022053-Elena-Jorge-scaled.jpg
Pan de Membrillo Artesanal,,Marcos Ibañez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/1773684937172-Marcos-Ibanez.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/1774217909627-Marcos-Ibanez-1.png
Mermelada de Cerezas,"Frasco de 450 grs , contiene cerezas, azúcar, jugo de limon, elaboracion 100% artesanal sin agregados artificiales",Marcos Ibañez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/ceresa.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/1774217909627-Marcos-Ibanez.png
Mermelada de Durazno,"Frasco de 450 grs , contiene durazno, azúcar, jugo de limon, elaboracion 100% artesanal sin agregados artificiales",Marcos Ibañez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/durazno.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/1774217909627-Marcos-Ibanez.png
Mermelada de Alcayota,"Frasco de 450 grs , contiene alcayota, azúcar, jugo de limon. Elaboracion 100% artesanal Sin agregados artificiales",Marcos Ibañez,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/alcayota.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/1774217909627-Marcos-Ibanez.png
"Almohadón ""Ovejita""",Almohadón realizado en tela Panamá con la técnica de Punch Needle Confeccionado 100% a mano Con aguja mágica o china y lana acrílica antialergica Relleno con Almohadón y vellón siliconado Lavado delicado Secado a la sombra En su Confección no tiene botones ni piezas chiquitas Apto para niños y bebés,Patricia Cornejo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/20250602_115609-1-Patricia-Cornejo.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/17829132573206852238864352413417-Patricia-Cornejo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/17829134149578935454866593829788-Patricia-Cornejo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/17829135175228484700734970543592-Patricia-Cornejo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/file_00000000284c720e8340a2a4793e148f-Patricia-Cornejo.png
"Pantuflas ""Corazón""","Pantuflas confeccionadas con telas 100% algodón con base antideslizante, acolchada en su interior con técnica de quilting Números del 35 al 41 Lavado a mano y secado a la sombra Diseños varios en telas importadas",Patricia Cornejo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/IMG-20190512-WA0015-Patricia-Cornejo.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/20190613_133737-Patricia-Cornejo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/17829124504101343312294579060871-Patricia-Cornejo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/178291280411510157838662235217-Patricia-Cornejo-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/file_000000007ed471f59689eace68f9f8db-Patricia-Cornejo.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2026/07/file_0000000084d4720ea163d5894b73a6f8-Patricia-Cornejo.png
